,tweet,label,marker
1852,david warner right royal twat hugh famili blame anyth freak accid tu,normal,0
2062,relax faggot cours think amp prayer one ask tweet thu,normal,0
2996,tell mongol stick donkey dont summon lion,normal,0
494,psst faggot,normal,0
4972,sorri simpli point white immigr bit racist onl,offensive,1
4282,uuuuuubspic eeuc,normal,0
3289,ok cant fuck understand ur say dont speak ching chong,normal,0
3756,charm man smith hit place im think morrissey twat,normal,0
2302,drunk retard high retard win battl btw,hateful,1
3040,hate word dyke much holi fuck,offensive,1
2235,one blood negro spiritu,normal,0
3862,thread call spic kiss cousin uddudea,offensive,1
2964,fuck faggot yote tweet,normal,0
570,fuck hell monster boro fan tv frighten deffo someth water inbr smoggi mongi wanker,hateful,1
4575,wacom tri work,normal,0
868,fatima retard younfatima uchuh didnut understandud,offensive,1
1117,youv never twat,normal,0
4967,bring diseas ruin wall eat food without give shit fuck care,normal,0
2829,violenceyou get mad year ago say werent shithol countri make mind theu,offensive,1
5079,think spic pictur,fearful_offensive_hateful_disrespectful_normal,1
1717,young negro stay focus,offensive,1
3464,kid gon na half spic n half baguett,offensive,1
1918,donald trump want wall across north africa keep refuge europ,normal,0
1595,exo say fuck nigger live leave,hateful,1
1976,crazi half u babi get old soul half retard af,normal,0
2677,niggaz wan na strip bone fa shit chu hate nigga like thatfaggot get cha,normal,0
2440,ching chong,normal,0
1400,crude leftist podcast use word ucretardud lot fan base make angru,offensive,1
771,azerbaijan suck want get hell countri never come back shithol,normal,0
3164,babi call spic,disrespectful_hateful,1
4060,lee hsien loong chinaman crimin teck boon huat chinaman harri potter malaysian tamil mosleu,offensive_disrespectful,1
825,realli hot cock need cock sissi faggot mouth as,offensive_normal,1
2612,love dyke uddud,normal,0
4610,mom turn call dog dumb retard,offensive,1
219,itus well faggot,hateful,1
248,youur retard doesnut even know use liber argument lmao,offensive,1
3779,manni machado chap cunt,normal,0
2127,ugli as bitch fat pig delet shit cunt bottom barrel faggot,offensive,1
5266,one irl chine whenev educ girl say ching chong shit girl goe,normal,0
4191,hey riotgam get permaban yesterday say ching chong im chine game,offensive,1
461,mean smart enough leav rd world shithol come credit creu,offensive_disrespectful,1
1746,retard trigger fire alarm morn,offensive,1
312,that get eat pickl nigger,normal,0
3382,heus twat,hateful,1
74,kid well live ball shithol countri,offensive,1
4891,lukewarm as negro,abusive_hateful,1
1790,glad despic trump fan magabomb quick find thank director wray fbinnon negat iu,normal,0
1337,im ggonee imagin tell negro report color bh month ago call nigger selfish,normal,0
1636,stop faggot hate,offensive,1
4139,nigger faggot,hateful,1
1499,ce migrant qui veulent sinvestir pour leurop,normal,0
4822,dont like china disgust ching chong countri,normal,0
1725,trump follow nnim shitn one damn bit forest trump getn rid kastogi raghead report tu,hateful_disrespectful,1
2865,canadian believ refuge treat good pension case show,fearful_abusive_offensive_disrespectful_normal,1
3585,doesnt look clever fair twat,normal,0
809,itus okay niggernitus okay wetbacknitus okay faggotnitus okay gooknitus okay beu,offensive_disrespectful,1
2308,retard,fearful_offensive_hateful_disrespectful_normal,1
5343,also cho chang last name thank pick slight variat ching chong one,abusive_hateful,1
5314,non mai genr blagu sur les migrant je laim de plus en plus,normal,0
3115,share lucki giant mongol pencil pas upcat,offensive,1
2637,everyon report youur cunt role play child youur fuck prison,normal,0
3974,dont find credibl feminazi woman lie vicious nasti reveng,normal,0
1493,joyeux anniversair en retard leagu legend,normal,0
689,countri run like zimbabw do shithol african state,normal,0
4451,rapper say faggotgtgt,offensive,1
4740,cunt,hateful,1
5526,current accept twolv refuge door open rubio plenti spida doth provid,offensive,1
4544,u streamong injun v retard dick measur contest,normal,0
703,look scoreboard goddamn retard uddudeuddudeuddud know probabl didnut make past th grade math,abusive_hateful,1
3640,hilari go time line see everyon bash faggot assss uddudeuddudeuddudeuddudeuddudeuddudeuddudennu clown bro fr fr,offensive,1
5069,close border wall build never assimil amp bring diseas that erad,normal,0
2177,world goe crazi shithol countri via,normal,0
2642,leftistmarxistdem go terrorist illeg alien reduc tax burden american bad trade deal exc,fearful_hateful,1
3851,unless youur muslim mexican shithol countrynntrumpian hypocrisi unparallel know bouu,offensive_hateful,1
2304,time set twit twat,normal,0
2557,anoth shoot nit doesnut even surpris anymor shithol countri valu gun thanu,normal,0
4446,never think id see america degener true shithol countri life great work american,offensive,1
4599,ucyou get twatudnnuceverybodi want thatudn,fearful_abusive_offensive_disrespectful_normal,1
2105,your littl twat,abusive_disrespectful,1
706,god give nostalgia babi dyke day,offensive,1
654,ate mine haha get cu ching chong,abusive_normal,1
5453,lot ya may sound dumb retard whatev person none ya opinion ever matter dou,normal,0
5124,negro besho,offensive,1
2170,snickerdoodl inventor brilliant godlikensnickerdoodl namer faggot,offensive,1
1692,go full retard never go full retard,normal,0
3007,like video dormammus faggot firebal bullshit,offensive,1
5163,lol let know fact ching chong doesnut hurt iu,abusive_offensive_hateful_disrespectful_normal,1
216,speak hotdog mean littl boysnnso muslim faggot import bunch black kid chiu,offensive,1
3717,welp scouter twat either report deactiv must vote red get protect illeg alien,offensive_hateful,1
3374,sensit fragil get block next iter two twatu,offensive,1
4129,warrior last fta spic,offensive,1
1726,realli want go loleith shelter ignor twat yu,abusive_offensive,1
3098,wonder time ppl retard slow udeudd,normal,0
1681,well say want immigr blue eye call u shithol countru,normal,0
5170,actual retard,offensive,1
